id,cnpj,created_at,updated_at,nome_fantasia,sap,razao,regional
42,23428899000143,"2017-09-26 15:07:39.034758","2017-09-26 15:07:39.034758","NET LINE","","BORBA PROVEDOR LTDA",Fortaleza
43,14702958000139,"2017-09-26 15:07:39.053947","2017-09-26 15:07:39.053947",BOSSNET,"","BOSSNET PROVEDOR DE INTERNET LTDA","Belém"
44,14629705000187,"2017-09-26 15:07:39.077327","2017-09-26 15:07:39.077327","BRASIL DIGITAL","","BRASIL DIGITAL SERVIÇOS DE INFORMÁTICA E COMÉRCIO LTDA - ME","Brasília"
45,11966640000177,"2017-09-26 15:07:39.096887","2017-09-26 15:07:39.096887",BRDIGITAL,"","BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.","Porto Alegre"
46,17955033000198,"2017-09-26 15:07:39.117089","2017-09-26 15:07:39.117089","G3 TELECOM","","BRASIL NORTE TELECOMUNICAÇÕES LTDA - EPP","Belém"
47,07246932000168,"2017-09-26 15:07:39.139548","2017-09-26 15:07:39.139548","BRASILNET INTERNET BANDA LARGA LTDA - ME","","BRASILNET INTERNET BANDA LARGA LTDA - ME","Belém"
48,04601397000128,"2017-09-26 15:07:39.163205","2017-09-26 15:07:39.163205",BRISANET,"","BRISANET PREST. SERV. DE INTERNET ",Fortaleza
49,10431131000187,"2017-09-26 15:07:39.182424","2017-09-26 15:07:39.182424","BRPHONIA PROVEDOR","","BRPHONIA PROVEDOR IP LTDA","Porto Alegre"
50,13338689000100,"2017-09-26 15:07:39.205245","2017-09-26 15:07:39.205245",BRSULNET,"","BRSULNET TELECOM LTDA - EPP","Porto Alegre"
51,06203355000164,"2017-09-26 15:07:39.226638","2017-09-26 15:07:39.226638","BRT NETWORK","","BRT COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA - ME","Brasília"
52,03264131000174,"2017-09-26 15:07:39.247672","2017-09-26 15:07:39.247672",BYALNET,"","BYAL TELECOM LTDA. - EPP","Rio de Janeiro"
53,09615199000137,"2017-09-26 15:07:39.270519","2017-09-26 15:07:39.270519",WIRELLESSNET,"","C M C NOGUEIRA INFORMATICA LTDA",Fortaleza
